toll_plaza_id,Stretch,Tollable Length,Fee Effective Date,Due Date of Toll Revision,Concessions,Rest Areas,Truck Lay byes,Static Weigh Bridge,Announcement,Helpline No.,Emergency Services,Nearest Police Station,Highway Administrator (Project Director),Project Implementation Unit(PIU),Regional Office(RO),Representative of Consultant,Representative of Concessionaire,Nearest Hospital(s),Date of fee notification,Commercial Operation Date,Fee Rule,Capital Cost of Project (in Rs. Cr.),Cumulative Toll Revenue (in Rs. Cr.),Concessions Period,Design Capacity (PCU),Traffic (PCU/day),Target Traffic (PCU/day),Name of Concessionaire / OMT Contractor,Name / Contact Details of Incharge,Car/Jeep/Van_Single Journey,Car/Jeep/Van_Return Journey,Car/Jeep/Van_Monthly Pass,Car/Jeep/Van_Commercial Vehicle Registered within the district of plaza,LCV_Single Journey,LCV_Return Journey,LCV_Monthly Pass,LCV_Commercial Vehicle Registered within the district of plaza,Bus/Truck_Single Journey,Bus/Truck_Return Journey,Bus/Truck_Monthly Pass,Bus/Truck_Commercial Vehicle Registered within the district of plaza,Upto 3 Axle Vehicle_Single Journey,Upto 3 Axle Vehicle_Return Journey,Upto 3 Axle Vehicle_Monthly Pass,Upto 3 Axle Vehicle_Commercial Vehicle Registered within the district of plaza,4 to 6 Axle_Single Journey,4 to 6 Axle_Return Journey,4 to 6 Axle_Monthly Pass,4 to 6 Axle_Commercial Vehicle Registered within the district of plaza,HCM/EME_Single Journey,HCM/EME_Return Journey,HCM/EME_Monthly Pass,HCM/EME_Commercial Vehicle Registered within the district of plaza,7 or more Axle_Single Journey,7 or more Axle_Return Journey,7 or more Axle_Monthly Pass,7 or more Axle_Commercial Vehicle Registered within the district of plaza
236,Vishakhapatnam - Ankapalli [Km 2.837 to &Km 395.870 to Km358.00(New Chainage From Km 700.544 to Km 740.255)],Km 40.707 Km(s),03-Jun-2024,31-Mar-2025,"The rates for monthly pass applicable for local non-commercial vehicle residing within a distance of 20 km from the toll plaza for the year 2024-25 shall be Rs.340/-, subject to revision every year as per the provisions of the 2008 Amended Fee Rules.",0,0,0,Toll rates due for revision w.e.f : 31 Mar 2025,"Crane-7993084799, Ambulance -7416511921, Route Patrol-9391188526",9,/,Sh. Prabhat Ranjan / 8130006265,PIU Vishakapatnam,RO Vijaywada,,Mr Ravindra / 7659859650,"1)Sri Satya Sai Hospital Beside SBI Aganampudi Visakhapatnam, Andhra Pradesh Ph.: 098486 39329, 2)RK Hospital Gajuwaka Visakhapatnam, Andhra Pradesh 530044",26-Jul-2012 (Sr No. - S.O.1709(E)),01-Dec-2001,2008 as amended with transition,63.54,176.66   (With Discounting)   (For Entire Project Stretch) As on :31-Dec-2016,01.11.16 - 31.01.17,40000,52033 As on : 26-May-2017,48811 As on : 31-Dec-2017,Uday Kiran Chitturi,Srinu / 8130006277,65.00,95.00,2155.00,30.00,105.00,155.00,3485.00,50.00,220.00,330.00,7300.00,110.00,240.00,360.00,7965.00,120.00,345.00,515.00,11450.00,170.00,345.00,515.00,11450.00,170.00,420.00,625.00,13935.00,210.00
258,Hyderabad  Bangalore (km 211.000 to km 462.164),84.000 Km(s),03-Jun-2024,31-Mar-2025,"Monthly pass applicable local non-commercial vehicles  Residing with in radius of 20 km  :Rs.340/-.The Concessionaire shall issue  50 or more one way tickets at a discounted rate equivalent to 2/3rd of the fee payable during the period of one month form the date of payment of fee. The amount indicated is for monthly pass for 50 one way trips. However, if any person asks more than 50 trips during a period of one month, the Concessionaire shall be required to issue such tickets at a discounted rate as above.",NA,NA,02 Nos.,Toll rates due for revision w.e.f : 31 Mar 2025,"Crane-8897129311   8919224352, Ambulance -8897668884  9866946244, Route Patrol-7659960036    7095959718",1033,Veldurthi TOWN / 8518259462,Shri  A.Tarun kumar / 8130006269,PIU Anantapur,RO Vijaywada,Ravi kiran,Raghu / 9491449827,1)Government Hospital Veldurthi Main Rd Veldurthi Andhra Pradesh 518216 2) Hospital SH 78 Kodumur Andhra Pradesh Ph. 094405 88883,18-Feb-2013 (Sr No. - 403(E)),16-May-2013,2008 as amended,367.73,403.84 (For Entire Project Stretch) As on :15-Sep-2024,8-8-24 to 8-8-25,NA,19500 As on : 20-Sep-2024,NA As on : 20-Sep-2024,Ms. Sri Sai Enterprises,Raghu / 8130006291,135.00,200.00,4490.00,65.00,220.00,325.00,7255.00,110.00,455.00,685.00,15200.00,230.00,495.00,745.00,16580.00,250.00,715.00,1070.00,23835.00,355.00,715.00,1070.00,23835.00,355.00,870.00,1305.00,29015.00,435.00
5977,Gurajanapalli To pasarlapudi,61.00 km Km(s),03-Jun-2024,31-Mar-2025,Toll rates due for revision w.e.f : 31 Mar 2025,0,2,1,Toll rates due for revision w.e.f : 31 Mar 2025,"Crane-7288818627, Ambulance -8977916029, Route Patrol-7093106376",1033,mummidivaram / 09440796564,Sh. D Surendranath / 08832431170,PIU Rajamahendravaram,RO Vijaywada,Hanumanthrao,T. Sagar Reddy / 7207777738,mummidivaram,04-Mar-2023 (Sr No. - 3120 ( E)),04-Mar-2023,NA,441.96,13995683.00 (For Entire Project Stretch) As on :30-Apr-2023,NA,NA,4463 As on : 30-Apr-2023,NA As on : 30-Apr-2023,Ms Amit enterprises,J Babulu / 8130006318,60.00,90.00,2010.00,30.00,95.00,145.00,3245.00,50.00,205.00,305.00,6805.00,100.00,225.00,335.00,7420.00,110.00,320.00,480.00,10670.00,160.00,320.00,480.00,10670.00,160.00,390.00,585.00,12990.00,195.00
4486,Imbrahimpatnam to AP Telangana Border,36.890 Km(s),03-Jun-2024,31-Mar-2025,The rate of monthly pass for a person who owns a mechanical vehicle registered for non-commercial purposes and resides within a distance of twenty kilometers from the fee plaza is Rs.340/- for the year 2024-25.,,,,Toll rates due for revision w.e.f : 31 Mar 2025,"Crane-7032519648, Ambulance -1.02548948151, Route Patrol-7032519648",1033,Mylavaram Police Station / 08659222333,Smt. Latha Kodem / 813006264 7382310285,PIU Vijaywada,RO Vijaywada,,Sunil Pawar / 8879616058,Gov.Prabhutwa Prajavaidhya Shala,26-Sep-2016 (Sr No. - 3064(E)),01-Jul-2017,2008 amended,NA,NA (For Entire Project Stretch) As on :01-Jul-2017,NA,NA,NA As on : 01-Jul-2017,NA As on : 01-Jul-2017,Neeraj Kumar,T Chinnarao / 8130006283,70.00,110.00,2410.00,35.00,115.00,175.00,3895.00,60.00,245.00,365.00,8160.00,120.00,265.00,400.00,8900.00,135.00,385.00,575.00,12795.00,190.00,385.00,575.00,12795.00,190.00,465.00,700.00,15575.00,235.00
5697,Rayachoty Kadapa Section,51.28 Km(s),03-Jun-2024,31-Mar-2025,Toll rates due for revision w.e.f : 31 Mar 2025,1,1,0,Toll rates due for revision w.e.f : 31 Mar 2025,"Crane-1033, Ambulance -8712608212, Route Patrol-1033",1033,Ramapuram / 0,Sh.Aashok Kumar / 8130006267,PIU Kadapa,RO Vijaywada,,Nagalinga reddy / 9398565308,0,14-Nov-2020 (Sr No. - 3185 (E)),17-Nov-2020,NH Fee rules 2008,272.21,35643235.00 (For Entire Project Stretch) As on :06-Mar-2021,NA,NA,NA As on : 06-Mar-2021,NA As on : 06-Mar-2021,Ms Coral Associates,M.Vali / 8130006302,55.00,85.00,1845.00,30.00,90.00,135.00,2975.00,45.00,185.00,280.00,6240.00,95.00,205.00,305.00,6805.00,100.00,295.00,440.00,9785.00,145.00,295.00,440.00,9785.00,145.00,355.00,535.00,11910.00,180.00
5952,Madanapalli to punganur to palmner,54.845 Km(s),03-Jun-2024,31-Mar-2025,"The rates for monthly pass applicable for local non-commercial vehicle residing within a distance of 20 km from the toll plaza for the year 2024-25 shall be Rs.340/-, subject to revision every year as per the provisions of the 2008 Amended Fee Rules.",NA,NA,NA,Toll rates due for revision w.e.f : 31 Mar 2025,"Crane-1033, Ambulance -8985138230, Route Patrol-1033",1033,punganur / 100,Sh. A. Karthik Reddy / 8130006272,PIU Chittoor,RO Vijaywada,DHARMA,NA /,Govt Genral hospital punganur,30-Sep-2022 (Sr No. - 138360180),05-May-2022,NH Fee Rule 2008 as amended,276.76,31.06 (For Entire Project Stretch) As on :10-Feb-2025,30.12.2024 @ 08:00:00 hrs. to 30.03.2025 @ 07:59:5,NA,3474 As on : 10-Feb-2025,NA As on : 30-Sep-2025,Anil Kumar Shukla,PANCHAN PRADHAN / 8130006315,55.00,80.00,1760.00,25.00,85.00,130.00,2840.00,45.00,180.00,270.00,5950.00,90.00,195.00,290.00,6495.00,95.00,280.00,420.00,9335.00,140.00,280.00,420.00,9335.00,140.00,340.00,510.00,11360.00,170.00
4542,Km 589.000 to Km 641.000,Km 52.000  Km(s),03-Jun-2024,31-Mar-2025,Monthly pass applicable for local non-commercial vehicles : 340/- at radius of 20 Km,,,,Toll rates due for revision w.e.f : 31 Mar 2025,"Crane-7525910066    9908830904, Ambulance -8977008856   8977008861, Route Patrol-9441371178    9550371008",1033,Mydukuru / 08564231233,Sh.A.Tarun Kumar / 8130006269,PIU Anantapur,RO Vijaywada,Shri Venugopal Reddy Team Leader,Shri Raju / 8498056311,Mydukuru 08564250107,09-Mar-2018 (Sr No. - S.O.No.1331 (E)),02-Sep-2018,NA,230.00,4275334.00 (For Entire Project Stretch) As on :20-Sep-2018,NA,NA,8841 As on : 19-Sep-2018,NA As on : 19-Sep-2018,Ms Jai Kamnath and Company,T Suryanarayana Reddy / 8130006286,45.00,70.00,1525.00,25.00,75.00,110.00,2465.00,35.00,155.00,230.00,5160.00,75.00,170.00,255.00,5630.00,75.00,245.00,365.00,8095.00,120.00,245.00,365.00,8095.00,120.00,295.00,445.00,9855.00,150.00
5753,RAPTHADUMUDIGUBBA,57.471 Km(s),12-Nov-2024,31-Mar-2025,Toll rates due for revision w.e.f : 31 Mar 2025,NA,NA,02 Nos,Toll rates due for revision w.e.f : 31 Mar 2025,"Crane-1033, Ambulance -8712608207, Route Patrol-1033",8130006314,Bathalapalli police station / 8559252433,Shri.A Tarun Kumar / 8130006269,PIU Anantapur,RO Hyderabad,NA,Rakesh / 6361394668,Bathalapalli,28-Nov-2020 (Sr No. - 4248 (E)),18-Jul-2021,Fee rules 2008,613.62,45.16 (For Entire Project Stretch) As on :10-Feb-2025,12 months,NA,5996 As on : 10-Feb-2025,NA As on : 23-Jul-2021,Coral Associates,Sawai singh / 8130006314,90.00,130.00,2930.00,45.00,140.00,215.00,4735.00,70.00,300.00,445.00,9925.00,150.00,325.00,485.00,10825.00,160.00,465.00,700.00,15565.00,235.00,465.00,700.00,15565.00,235.00,570.00,855.00,18945.00,285.00
233,Icchapuram - Puintola (Km 477.054 to Km 419.600),Km 57.454 Km(s),01-Apr-2023,31-Mar-2024, ,0,0,0,,"Crane-9000257842, Ambulance -9392964871, Route Patrol-9392953971","1033, 108",Ichapuram Rural / 08947 231033,Sh. Prabhat Ranjan / 8130006265,PIU Vishakapatnam,RO Vijaywada,,Devanand / 9853601914,"1)Government Hospital SVJ COLLEGE ROUTE Kaviti, Andhra Pradesh , 2)savitri nusing home SAVITRI NURSING HOME , MAINROAD,SOMPETA Kanchili-Sompeta Rd Sompeta, Andhra Pradesh Ph.: 094401 06297 3)Tanuja Nurshinghome gorjistreet.Ichapuram. Ph.:089472 32460",30-Aug-2011 (Sr No. - SO 2027(E)),29-Aug-2012,2008 as amended,183.46,108.68   (With Discounting)   (For Entire Project Stretch) As on :31-Dec-2016,24.10.16 - 24.10.17,40000,22649 As on : 11-Jun-2017,12906 As on : 31-Dec-2017,M/S Eagle Infra India Ltd,Mr Devanand / 8130006321,110.00,165.00,3700.00,55.00,180.00,270.00,5975.00,90.00,375.00,565.00,12515.00,190.00,410.00,615.00,13655.00,205.00,590.00,885.00,19630.00,295.00,590.00,885.00,19630.00,295.00,715.00,1075.00,23895.00,360.00
252,Chilkaluripet - Nellore (Km 1182.802 - Km 1366.547),70.945 Km(s),03-Jun-2024,31-Mar-2025,"Monthly pass applicable local non-commercial vehicles  Residing with in radius of 20 km  :Rs.340/-.The Concessionaire shall issue  50 or more one way tickets at a discounted rate equivalent to 2/3rd of the fee payable during the period of one month form the date of payment of fee. The amount indicated is for monthly pass for 50 one way trips. However, if any person asks more than 50 trips during a period of one month, the Concessionaire shall be required to issue such tickets at a discounted rate as above.",,0,installed in RHS,Toll rates due for revision w.e.f : 31 Mar 2025,"Crane-1033, Ambulance -8096999039, Route Patrol-8096999038",8096999057,Renangivaram Police station / 8593257066,Sh.M.K.Choudary / 8130006266,PIU Nellore,RO Vijaywada,Mr Shaik Ali,K. Siva Kumar / 9500933084,"1)Koteswararao Hospital Dronadula, Andhra Pradesh, 2) sri sai krupa nursing home Main Rd Sharabbazar Venugonda Chilakaluripet, Andhra Pradesh Ph.: 086472 57849, 3)Govt.General Hospital Guntupalli Colony Martur - Ballikurava Road Guntupalli, Andhra Pradesh",20-Jun-2011 (Sr No. - S.O.1423(E)),22-Nov-2011,2008,2550.00,318.86 (For Entire Project Stretch) As on :31-Dec-2016,18.11.2011-20.11.2041,120000,24034 As on : 31-Mar-2017,24769 As on : 31-Mar-2014,Simhapuri Expressway Limited,TRILOK SINGH / 8130006335,175.00,265.00,5900.00,NA,275.00,415.00,9230.00,NA,565.00,850.00,18840.00,NA,870.00,1305.00,28950.00,NA,870.00,1305.00,28950.00,NA,870.00,1305.00,28950.00,NA,1105.00,1655.00,36770.00,NA
