sr_no,state,nh_no,toll_plaza_name,toll_plaza_location,section_stretch,tollplazaid,latitude,longitude,place_id,address_partial_match,toll_plaza_id,stretch,tollable_length,fee_effective_date,due_date_of_toll_revision,concessions,rest_areas,truck_lay_byes,static_weigh_bridge,announcement,helpline_no,emergency_services,nearest_police_station,highway_administrator_project_director,project_implementation_unit_piu,regional_office_ro,representative_of_consultant,representative_of_concessionaire,nearest_hospital_s,date_of_fee_notification,commercial_operation_date,fee_rule,capital_cost_of_project_in_rs_cr,cumulative_toll_revenue_in_rs_cr,concessions_period,design_capacity_pcu,traffic_pcu_day,target_traffic_pcu_day,name_of_concessionaire_omt_contractor,name_contact_details_of_incharge,car_jeep_van_single_journey,car_jeep_van_return_journey,car_jeep_van_monthly_pass,car_jeep_van_commercial_vehicle_reg_in_district,lcv_single_journey,lcv_return_journey,lcv_monthly_pass,lcv_commercial_vehicle_reg_in_district,bus_truck_single_journey,bus_truck_return_journey,bus_truck_monthly_pass,bus_truck_commercial_vehicle_reg_in_district,upto_3_axle_vehicle_single_journey,upto_3_axle_vehicle_return_journey,upto_3_axle_vehicle_monthly_pass,upto_3_axle_vehicle_commercial_vehicle_reg_in_district,_4_to_6_axle_single_journey,_4_to_6_axle_return_journey,_4_to_6_axle_monthly_pass,_4_to_6_axle_commercial_vehicle_reg_in_district,hcm_eme_single_journey,hcm_eme_return_journey,hcm_eme_monthly_pass,hcm_eme_commercial_vehicle_reg_in_district,_7_or_more_axle_single_journey,_7_or_more_axle_return_journey,_7_or_more_axle_monthly_pass,_7_or_more_axle_commercial_vehicle_reg_in_district
1,Andhra Pradesh,16,Aganampudi,Km 728.055,Vishakhapatnam - Ankapalli [Km 2.837 to &Km 395.870 to Km358.00(New Chainage From Km 700.544 to Km 740.255)],236,17.6854173,83.14995069999999,ChIJyaj65ttuOToRH26fq-li1fY,False,236,Vishakhapatnam - Ankapalli [Km 2.837 to &Km 395.870 to Km358.00(New Chainage From Km 700.544 to Km 740.255)],Km 40.707 Km(s),01-Apr-2025,31-Mar-2026,NA,0,0,0,NA,"Crane-7993084799, Ambulance -7416511921, Route Patrol-9391188526",9,/,Sh. Prabhat Ranjan / 8130006265,PIU Vishakapatnam,RO Vijaywada,NA,Mr Ravindra / 7659859650,"1)Sri Satya Sai Hospital Beside SBI Aganampudi Visakhapatnam, Andhra Pradesh Ph.: 098486 39329, 2)RK Hospital Gajuwaka Visakhapatnam, Andhra Pradesh 530044",26-Jul-2012 (Sr No. - S.O.1709(E)),01-Dec-2001,2008 as amended with transition,63.54,176.66   (With Discounting)   (For Entire Project Stretch) As on :31-Dec-2016,01.11.16 - 31.01.17,40000,52033 As on : 26-May-2017,48811 As on : 31-Dec-2017,Uday Kiran Chitturi,Srinu / 8130006277,65.00,100.00,2235.00,35.00,110.00,160.00,3610.00,55.00,225.00,340.00,7560.00,115.00,245.00,370.00,8245.00,125,355.00,535.00,11855.00,180.00,355.00,535.00,11855.00,180.00,435.00,650.00,14430.00,215.00
2,Andhra Pradesh,7 (new 44),Amakathadu,Km 250.700,Hyderabad Bangalore (km 211.000 to km 462.164),258,15.4864765,77.9009433,ChIJG6ZfoqN_tjsR6hw94uU86QQ,False,258,Hyderabad  Bangalore (km 211.000 to km 462.164),84.000 Km(s),01-Apr-2025,31-Mar-2026,NA,NA,NA,02 Nos.,NA,"Crane-8897129311   8919224352, Ambulance -8897668884  9866946244, Route Patrol-7659960036    7095959718",1033,Veldurthi TOWN / 8518259462,Shri  A.Tarun kumar / 8130006269,PIU Anantapur,RO Vijaywada,Ravi kiran,Raghu / 9491449827,1)Government Hospital Veldurthi Main Rd Veldurthi Andhra Pradesh 518216 2) Hospital SH 78 Kodumur Andhra Pradesh Ph. 094405 88883,18-Feb-2013 (Sr No. - 403(E)),16-May-2013,2008 as amended,367.73,403.84 (For Entire Project Stretch) As on :15-Sep-2024,8-8-24 to 8-8-25,NA,19500 As on : 20-Sep-2024,NA As on : 20-Sep-2024,Ms. Sri Sai Enterprises,Raghu / 8130006291,140.00,210.00,4650.00,70.00,225.00,340.00,7510.00,115.00,470.00,710.00,15740.00,235.00,515.00,775.00,17170.00,260.00,740.00,1110.00,24680.00,370.00,900.00,1110.00,24680.00,370.00,900.00,1350.00,30045.00,450.00
3,Andhra Pradesh,NH-216,Annampalli,Annampalli,Gurajanapalli To pasarlapudi,5977,16.6722283,82.1473895,ChIJcw8uBaz1NzoRMva9Ii5taRE,False,5977,Gurajanapalli To pasarlapudi,61.00 km Km(s),01-Apr-2025,31-Mar-2026,NA,0,2,1,NA,"Crane-7288818627, Ambulance -8977916029, Route Patrol-7093106376",1033,mummidivaram / 09440796564,Sh. D Surendranath / 08832431170,PIU Rajamahendravaram,RO Vijaywada,Hanumanthrao,T. Sagar Reddy / 7207777738,mummidivaram,04-Mar-2023 (Sr No. - 3120 ( E)),04-Mar-2023,NA,441.96,13995683.00 (For Entire Project Stretch) As on :30-Apr-2023,NA,NA,4463 As on : 30-Apr-2023,NA As on : 30-Apr-2023,Ms Amit enterprises,J Babulu / 8130006318,60.00,95.00,2080.00,30.00,100.00,150.00,3365.00,50.00,210.00,315.00,7045.00,105.00,230.00,345.00,7685.00,115,330.00,495.00,11050.00,165.00,330.00,495.00,11050.00,165.00,405.00,605.00,13450.00,200.00
4,Andhra Pradesh,221,Badava,35.800,Imbrahimpatnam to AP Telangana Border,4486,16.8504745,80.63358439999999,ChIJr0zTpNLaNToReLaGbihNfUU,False,4486,Imbrahimpatnam to AP Telangana Border,36.890 Km(s),01-Apr-2025,31-Mar-2026,NA,NA,NA,NA,NA,"Crane-7032519648, Ambulance -1.02548948151, Route Patrol-7032519648",1033,Mylavaram Police Station / 08659222333,Smt. Latha Kodem / 813006264 7382310285,PIU Vijaywada,RO Vijaywada,NA,Sunil Pawar / 8879616058,Gov.Prabhutwa Prajavaidhya Shala,26-Sep-2016 (Sr No. - 3064(E)),01-Jul-2017,2008 amended,NA,NA (For Entire Project Stretch) As on :01-Jul-2017,NA,NA,NA As on : 01-Jul-2017,NA As on : 01-Jul-2017,Neeraj Kumar,T Chinnarao / 8130006283,75.00,110.00,2495.00,35.00,120.00,180.00,4030.00,60.00,255.00,380.00,8450.00,125.00,275.00,415.00,9215.00,140,395.00,595.00,13250.00,200.00,395.00,595.00,13250.00,200.00,485.00,725.00,16130.00,240.00
5,Andhra Pradesh,NH40,Bandaplli,119.945 Bandaplli,Rayachoty Kadapa Section,5697,14.1311987,78.75668209999999,ChIJ2T3B-NwFszsRs_e_vnu63yw,True,5697,Rayachoty Kadapa Section,51.28 Km(s),03-Jun-2024,31-Mar-2025,NA,1,1,0,NA,"Crane-1033, Ambulance -8712608212, Route Patrol-1033",1033,Ramapuram / 0,Sh.Aashok Kumar / 8130006267,PIU Kadapa,RO Vijaywada,NA,Nagalinga reddy / 9398565308,0,14-Nov-2020 (Sr No. - 3185 (E)),17-Nov-2020,NH Fee rules 2008,272.21,35643235.00 (For Entire Project Stretch) As on :06-Mar-2021,NA,NA,NA As on : 06-Mar-2021,NA As on : 06-Mar-2021,Ms Coral Associates,M.Vali / 8130006302,55.00,85.00,1845.00,30.00,90.00,135.00,2975.00,45.00,185.00,280.00,6240.00,95.00,205.00,305.00,6805.00,100.00,295.00,440.00,9785.00,145.00,295.00,440.00,9785.00,145.00,355.00,535.00,11910.00,180.00
6,Andhra Pradesh,NH42,Bandlapalli,Bandlapalli village,Madanapalli to punganur to palmner,5952,14.1311987,78.75668209999999,ChIJ2T3B-NwFszsRs_e_vnu63yw,False,5952,Madanapalli to punganur to palmner,54.845 Km(s),01-Apr-2025,31-Mar-2026,NA,NA,NA,NA,NA,"Crane-1033, Ambulance -8985138230, Route Patrol-1033",1033,punganur / 100,Sh. A. Karthik Reddy / 8130006272,PIU Chittoor,RO Vijaywada,DHARMA,NA /,Govt Genral hospital punganur,30-Sep-2022 (Sr No. - 138360180),05-May-2022,NH Fee Rule 2008 as amended,276.76,31.06 (For Entire Project Stretch) As on :10-Feb-2025,30.12.2024 @ 08:00:00 hrs. to 30.03.2025 @ 07:59:5,NA,3474 As on : 10-Feb-2025,NA As on : 30-Sep-2025,Anil Kumar Shukla,PANCHAN PRADHAN / 8130006315,55.00,80.00,1760.00,25.00,90.00,130.00,2840.00,45.00,185.00,275.00,5950.00,90.00,200.00,300.00,6495.00,95.00,290.00,435.00,9335.00,140.00,350.00,435.00,9335.00,140.00,350.00,530.00,11360.00,170.00
7,Andhra Pradesh,NH 67,Basapuram,Km 604.450,Km 589.000 to Km 641.000,4542,14.7083358,78.8723771,ChIJ4_R8zQRjszsRkEOmZw1aqqk,False,4542,Km 589.000 to Km 641.000,Km 52.000  Km(s),03-Jun-2024,31-Mar-2025,Monthly pass applicable for local non-commercial vehicles : 340/- at radius of 20 Km,NA,NA,NA,NA,"Crane-7525910066    9908830904, Ambulance -8977008856   8977008861, Route Patrol-9441371178    9550371008",1033,Mydukuru / 08564231233,Sh.A.Tarun Kumar / 8130006269,PIU Kadapa,RO Vijaywada,Shri Venugopal Reddy Team Leader,Shri Raju / 8498056311,Mydukuru 08564250107,09-Mar-2018 (Sr No. - S.O.No.1331 (E)),02-Sep-2018,NA,230.00,4275334.00 (For Entire Project Stretch) As on :20-Sep-2018,NA,NA,8841 As on : 19-Sep-2018,NA As on : 19-Sep-2018,Ms Jai Kamnath and Company,T Suryanarayana Reddy / 8130006286,45.00,70.00,1525.00,25.00,75.00,110.00,2465.00,35.00,155.00,230.00,5160.00,75.00,170.00,255.00,5630.00,75.00,245.00,365.00,8095.00,120.00,245.00,365.00,8095.00,120.00,295.00,445.00,9855.00,150.00
8,Andhra Pradesh,NH 42,Bathalapalli,AT KM 104.405,RAPTHADUMUDIGUBBA,5753,14.5001074,77.7966071,ChIJid-qWD5bsTsRNqTOBrQzN6Q,False,5753,RAPTHADUMUDIGUBBA,57.471 Km(s),01-Apr-2025,31-Mar-2026,NA,NA,NA,02 Nos,NA,"Crane-1033, Ambulance -8712608207, Route Patrol-1033",8130006314,Bathalapalli police station / 8559252433,Shri.A Tarun Kumar / 8130006269,PIU Anantapur,RO Hyderabad,NA,Rakesh / 6361394668,Bathalapalli,28-Nov-2020 (Sr No. - 4248 (E)),18-Jul-2021,Fee rules 2008,613.62,45.16 (For Entire Project Stretch) As on :10-Feb-2025,12 months,NA,5996 As on : 10-Feb-2025,NA As on : 23-Jul-2021,Coral Associates,Sawai singh / 8130006314,90.00,135.00,3035.00,45.00,145.00,220.00,4905.00,75.00,310.00,460.00,10275.00,155.00,335.00,505.00,11210.00,170.00,485.00,725.00,16115.00,240.00,590.00,725.00,16115.00,240.00,590.00,885.00,19620.00,295.00
9,Andhra Pradesh,5,Bellupada,Km 473.632,Icchapuram - Puintola (Km 477.054 to Km 419.600),233,19.1113097,84.6992649,ChIJVyVbW_1pPToRAqCixwnTQPg,False,233,Icchapuram - Puintola (Km 477.054 to Km 419.600),Km 57.454 Km(s),01-Apr-2023,31-Mar-2024, ,0,0,0,NA,"Crane-9000257842, Ambulance -9392964871, Route Patrol-9392953971","1033, 108",Ichapuram Rural / 08947 231033,Sh. Prabhat Ranjan / 8130006265,PIU Vishakapatnam,RO Vijaywada,NA,Devanand / 9853601914,"1)Government Hospital SVJ COLLEGE ROUTE Kaviti, Andhra Pradesh , 2)savitri nusing home SAVITRI NURSING HOME , MAINROAD,SOMPETA Kanchili-Sompeta Rd Sompeta, Andhra Pradesh Ph.: 094401 06297 3)Tanuja Nurshinghome gorjistreet.Ichapuram. Ph.:089472 32460",30-Aug-2011 (Sr No. - SO 2027(E)),29-Aug-2012,2008 as amended,183.46,108.68   (With Discounting)   (For Entire Project Stretch) As on :31-Dec-2016,24.10.16 - 24.10.17,40000,22649 As on : 11-Jun-2017,12906 As on : 31-Dec-2017,M/S Eagle Infra India Ltd,Mr Devanand / 8130006321,110.00,165.00,3700.00,55.00,180.00,270.00,5975.00,90.00,375.00,565.00,12515.00,190.00,410.00,615.00,13655.00,205.00,590.00,885.00,19630.00,295.00,590.00,885.00,19630.00,295.00,715.00,1075.00,23895.00,360.00
10,Andhra Pradesh,5,Bollapalli,Km 1200.000,Chilkaluripet - Nellore (Km 1182.802 - Km 1366.547),252,15.8865647,80.07081560000002,ChIJ823aWrD1SjoRnBgUBxXInl4,False,252,Chilkaluripet - Nellore (Km 1182.802 - Km 1366.547),70.945 Km(s),01-Apr-2025,31-Mar-2026,NA,NA,0,installed in RHS,NA,"Crane-1033, Ambulance -8096999039, Route Patrol-8096999038",8096999057,Renangivaram Police station / 8593257066,Sh.M.K.Choudary / 8130006266,PIU Nellore,RO Vijaywada,Mr Shaik Ali,K. Siva Kumar / 9500933084,"1)Koteswararao Hospital Dronadula, Andhra Pradesh, 2) sri sai krupa nursing home Main Rd Sharabbazar Venugonda Chilakaluripet, Andhra Pradesh Ph.: 086472 57849, 3)Govt.General Hospital Guntupalli Colony Martur - Ballikurava Road Guntupalli, Andhra Pradesh",20-Jun-2011 (Sr No. - S.O.1423(E)),22-Nov-2011,2008,2550.00,318.86 (For Entire Project Stretch) As on :31-Dec-2016,18.11.2011-20.11.2041,120000,24034 As on : 31-Mar-2017,24769 As on : 31-Mar-2014,Simhapuri Expressway Limited,TRILOK SINGH / 8130006335,185.00,275.00,6110.00,NA,285.00,430.00,9560.00,NA,585.00,880.00,19510.00,NA,900.00,1350.00,29975.00,NA,900.00,1350.00,29975.00,NA,900.00,1350.00,29975.00,NA,1140.00,1715.00,38080.00,NA
