Sr No.,State,NH-No.,Toll Plaza Name,Toll Plaza Location,Section / Stretch,TollPlazaID
1,Andhra Pradesh,16,Aganampudi,Km 728.055,Vishakhapatnam - Ankapalli [Km 2.837 to &Km 395.870 to Km358.00(New Chainage From Km 700.544 to Km 740.255)],236
2,Andhra Pradesh,7 (new 44),Amakathadu,Km 250.700,Hyderabad Bangalore (km 211.000 to km 462.164),258
3,Andhra Pradesh,NH-216,Annampalli,Annampalli,Gurajanapalli To pasarlapudi,5977
4,Andhra Pradesh,221,Badava,35.800,Imbrahimpatnam to AP Telangana Border,4486
5,Andhra Pradesh,NH40,Bandaplli,119.945 Bandaplli,Rayachoty Kadapa Section,5697
6,Andhra Pradesh,NH42,Bandlapalli,Bandlapalli village,Madanapalli to punganur to palmner,5952
7,Andhra Pradesh,NH 67,Basapuram,Km 604.450,Km 589.000 to Km 641.000,4542
8,Andhra Pradesh,NH 42,Bathalapalli,AT KM 104.405,RAPTHADUMUDIGUBBA,5753
9,Andhra Pradesh,5,Bellupada,Km 473.632,Icchapuram - Puintola (Km 477.054 to Km 419.600),233
10,Andhra Pradesh,5,Bollapalli,Km 1200.000,Chilkaluripet - Nellore (Km 1182.802 - Km 1366.547),252
11,Andhra Pradesh,71,Brahmanapalli,348.720,Telangana Border to Erpedu,4495
12,Andhra Pradesh,NH 67,Buchireddypalem,Km 722.450,Km 695.000 to Km 741.950,4557
13,Andhra Pradesh,5,Budhanam,Km 124.500,Tada - Nellore,229
14,Andhra Pradesh,40,Chagalmarri,Km 228.350,Kadapa - Kurnool(Km 167.750 - km 356.502),452
15,Andhra Pradesh,NH18 (New NH40),Chapirevula,Km. 288.500,Design Engineering Fi0ncing Procurement Construction Operation Mainte0nce of 4 laning of CuddapahKurnool section of NH18 from the existing Km 167.750 to Km 356.502 in the State of Andhra Pra,5876
16,Andhra Pradesh,65,Chillakallu,Km 205.025,Hyderabad - Vijayawada,376
17,Andhra Pradesh,NH 216,Chinaganjam Toll Plaza,Chinaganjam,Eepuripalem to Ongole section,6632
18,Andhra Pradesh,565,Chintalapalem,500.150,Penchalkona to yerpedu,4485
19,Andhra Pradesh,NH67,Chitimiti Chintala,535.170 at Chittimiti Chintala,Muddanuru to Jammalamadugu section (Km 542.100 to Km 545.150),5698
20,Andhra Pradesh,NH 544E,Cholasamudram,Cholasamudram,Kodikonda junction to Madakasira,6588
21,Andhra Pradesh,42,Danamaiahgari palli,Danamaiahgari palli,KrishnagiriPalamaneru,6607
22,Andhra Pradesh,NH 65,Davuluru,km. 18,Vijayawada Machilipatnam section of NH65,4578
23,Andhra Pradesh,NH 67,DC PALLI,Km 680.100,Km 641.000 to Km 695.000,4558
24,Andhra Pradesh,1033,Dukkavanipalem,Km. 686.540,50.780 KM,5928
25,Andhra Pradesh,Old NH 18 (New NH 40),Dumpalagattu Paatimeeda Palli,km 181.250 (Toll plaza shifted from 168.300 to 181.250 on 191.02022),Kadapa to Kurnool from Km 167.750 to 356.502 to 188.752,6792
26,Andhra Pradesh,18,Durgamvaripalli,Km 69.015,PILERU RAYACHOTI,4556
27,Andhra Pradesh,16,Eathakota,Km 946.300,Diwancheruvu - Siddhantham(Km 901.753 to Km 950.283),450
28,Andhra Pradesh,140,Gadanki,Gadanki village Chittoor District,NH140 from Chittoor (Design Km 0.000 Existing Km 158.000 of NH4) to Mallavaram (Design km 61.128 existing km 41.800 of NH140,5770
29,Andhra Pradesh,516 E,Gantyada,At Km 20.650 of NH 516 E,Rehabilitation and Upgradation to 2lane with paved shoulders configuration of Bowdara Vizianagaram Section (Km 0.000 to Km 26.937) of NH516E in the state of Andhra Pradesh,6805
30,Andhra Pradesh,216,Gollaprolu,KM 15.00,Kathipudi Kaki0da,4617
31,Andhra Pradesh,326 A,Gorribanda,19.780,From 00.000 to 41.979,6604
32,Andhra Pradesh,516 C,Goshtani,KM 0.00 For a length of 10.336km On NH16,VISAKHAPATNAM PORT CONNECTIVTY PROJECT (2.262 KM),6606
33,Andhra Pradesh,NH167,Halaharvi,Km. 101.650,From Km 70.000 to Km 125.150 (Adoni to Madhavaram via Mantralayam section),4567
34,Andhra Pradesh,42,Jellilpalli,KM 47.400,A.P Boarder to Antapur,5670
35,Andhra Pradesh,NH 67,Jodi Dharampuram,AT KM 460.600,GOOTY TADIPATRI,5755
36,Andhra Pradesh,26,Jonnada,Jonnada,4 laning of Raipur Visakhapatnam section of NH43 (New NH26) from Km.537.600 to Km.563.620 (Design chainage from Km.0000 to Km.28800) including 4 lane bypass to Vizianagaram town in the state of,6818
37,Andhra Pradesh,16,Kalaparru,Km 1050.794,Gundugolanu - Vijayawada,248
38,Andhra Pradesh,44 and 7,Kasepalli,Km 310.200,Karidikonda - Marur,255
39,Andhra Pradesh,16,Kaza,Km 416.800,Vijayawada - Chilakaluripet,228
40,Andhra Pradesh,9,Keesara,Km 231.900,Nandigama - Vijayawada,227
41,Andhra Pradesh,16,Krishnavaram,Km 865.553,Tuni - Diwancheruvu [Km 272.000 to Km 200.000 (New Chainage From Km 901.753 to 830.525)],173
42,Andhra Pradesh,16,Laxmipuram,Km 530.404,Icchapuram - Nandigaon (Km 226.15 to Km160.00(New Chainage Km 477.054 to Km 543.204)),203
43,Andhra Pradesh,16,Madapam,Km 589.554,Nandigama - Srikakulam ( Km 160.00 to Km 97.00(New Chainage Km 543.204 to Km 606.204)),235
44,Andhra Pradesh,NH4 (New69),Mahasamudram,Km 164.100Km 159.300 to Km 219.687 NHDPIV,APTN Border to 0lagampalli to 0lagampalli to APKA Border,5661
45,Andhra Pradesh,5,Main Toll (Panchvati),Km 9.158,Vishakhapatnam Port Connectivity Project,240
46,Andhra Pradesh,1033,Marripalem,722.170 Km,50.780 KM,5927
47,Andhra Pradesh,7(new 44),Marur,Km 376.075,Hyderabad - Bangalore,230
48,Andhra Pradesh,NH 544D,Medapi,Km 297.650,Giidaluru to Vinukonda section of NH544D,5737
49,Andhra Pradesh,565,Mekalavaripalli,217.050,Markapuram to Vaggampalle,4493
50,Andhra Pradesh,NH 216,Mopidevi Toll Plaza,Km. 116.332,Machilipatnam to Avanigadda (Km. 82.300 to 117.060) Section of NH216 in the State of Andhra Pradesh,6659
51,Andhra Pradesh,NH 340,Mudiveedu,Mudiveedu Fee Plaza at Km 50.050,Rehabilitation and Upgradation from Km 0.00 to Km 60.280 of Rayachoty to Angallu road of NH340 to two lanes with paved shoulders on EPC Mode under NH (O) Plan 201617 in the State of Andhra Pradesh,6630
52,Andhra Pradesh,NH 216,Munjuluru,Km. 66.700,Loasri to Machavaram (Km. 32.900 to 82.300) Section of NH216 in the State of Andhra Pradesh,6594
53,Andhra Pradesh,NH40 (Old NH18),Nannur,349.700,46 laning of Kadapa Kurnool section from existing Km.167.750 to Km.356.502,4543
54,Andhra Pradesh,16,Nathavalasa/ Vizianagaram,Km 656.704,Champavati/ Kopperla - Visakhapatnam [km 49.00 to Km 2.837 (New Chainage From Km 700.544 to Km 654.204)],246
55,Andhra Pradesh,516 C,Panchvati,KM 0.00 For a length of 10.336km On NH16,VISAKHAPATNAM PORT CONNECTIVTY PROJECT (9.158 KM),6605
56,Andhra Pradesh,NH 544D,Pandillapalli,Km. 231.500,Giidaluru to Vinukonda section of NH544D,5738
57,Andhra Pradesh,NH 365 A,Paninampalli Khalu,Painampalli,Kodad to Khammam,6820
58,Andhra Pradesh,16,Pottipadu,Km 1072.191,Gundugolanu - Vijayawada,247
59,Andhra Pradesh,44,Pullur,Km 200.95,Kothakota bypass - Kurnool (Km 135.469 to Km 211.00),219
60,Andhra Pradesh,565,Rapur,443.800,Penchalkona to yerpedu,4484
61,Andhra Pradesh,565,Raviguntapalli,285.100,Markapuram to Vaggampalle,4494
62,Andhra Pradesh,NH 216,Reddypalem Toll Plaza,Km. 157.950,Repalle to Eeprupalem (Km. 122.725 to Km. 184.855) Section of NH216 in the State of Andhra Pradesh,6754
63,Andhra Pradesh,544E,Rolla,Rolla User Fee Plaza,Madakasira to Sira section,6817
64,Andhra Pradesh,363,Sarandi Toll Plaza,SARANDI,Four laning of NH 363 from Repallewada (Design Km.42.000) to TealnganaMaharashtr Border (Design Km. 94.602),6759
65,Andhra Pradesh,5,Secondary Toll (Gosthani Gate /Sheela Nagar),Km 2.262,Vishakhapatnam Port Connectivity Project,240
66,Andhra Pradesh,NH 216,Seetharampuram,Seetharampuram,Dhindi to Digamarru and Digamarru to Losari,6725
67,Andhra Pradesh,44,Shakhapur,Km 114.850,Hyderabad Bangalore Section (Km 80.050 to Km 135.740),217
68,Andhra Pradesh,NH 365 BB,Singarenipalli Toll Plaza,KM 37.400,Suryapet to khammam from (Ch0.420 to Ch59.046),6586
69,Andhra Pradesh,5,Sullurpet,Km 86.000,Tada - Nellore,250
70,Andhra Pradesh,16,Sunambatti (Musunuru),Km 1326.000,Chilkaluripet - Nellore (Km 1182.802 - Km 1366.547),251
71,Andhra Pradesh,16,Tangatur,Km 1264.000,Chilkaluripet - Nellore (Km 1182.802 - Km 1366.547),253
72,Andhra Pradesh,NH 40,Thenepalli,336.543 km of NH40,Thenepalli Toll Plaza Rehabilitation and up gradation of NH40 (Old NH18) from Km 300193 to Km 337693 (Old Km 18350 to Km 56000 (Piler Puthalapattu Section) to two lanes with paved shoulders,6596
73,Andhra Pradesh,16,Unguturu,Km 999.600,Siddhantham - Gundugolanu( Km 950.283 to Km 1022.494),451
74,Andhra Pradesh,544DD,Vaddupalli,Km 14.500 near Vaddupalli,A0npur Kalyandurg,5788
