name,contact,lat,lon,capacity,length
Jyoti Weighing Systems Pvt. Ltd,011 4151 9020,28.628928,77.226643,N/A,N/A
Roshan Lall Jain & Company,011 2325 1791,28.64941,77.227508,N/A,N/A
SURYA WEIGHT BRIDGE,,28.650381,77.1827107,N/A,N/A
Aczet Pvt Ltd,,28.6458288,77.165765,N/A,N/A
Janta Dharam Kanta,085878 82644,28.6676594,77.1644628,N/A,N/A
Ram Dharam Kanta,011 6462 0775,28.6687534,77.1738431,N/A,N/A
Visco India,011 4102 4371,28.5685267,77.1644788,N/A,N/A
Vishwakarma Scales Pvt. Ltd.,011 4102 4370,28.5684015,77.1642133,N/A,N/A
Varanasi Balance Works,011 2353 7932,28.657519,77.20350870000001,N/A,N/A
Balaji Dharamkanta,,28.6640873,77.1744525,N/A,N/A
Malik Dharm Kanta,011 2693 4077,28.5717342,77.2583784,N/A,N/A
Aczet,093121 48535,28.6655031,77.1586669,N/A,N/A
Leotronic Scales Private Limited,,28.5679196,77.1881392,N/A,N/A
Jay Pee Cutter,011 2876 2506,28.6609865,77.1758584,N/A,N/A
Caliber Scales India,080 4896 2147,28.6500783,77.1566895,N/A,N/A
Tollman International Pvt Ltd,011 4102 4370,28.5684263,77.16417249999999,N/A,N/A
Nav Bharat Dharam Kanta (Fully Computerised),,28.6708088,77.1607087,N/A,N/A
Ashbee Systems Ltd,011 4164 0112,28.553271,77.26665899999999,N/A,N/A
Kamal Scale Works,092124 96376,28.6753057,77.20339799999999,N/A,N/A
Bharat Dharam Kanta,011 4550 7626,28.6413264,77.13551720000001,N/A,N/A
Tula Digital (India) Pvt. Ltd.,098731 99235,28.6353482,77.1399678,N/A,N/A
Mahadev dharam kanta,011 4107 7172,28.6409272,77.1358034,N/A,N/A
Unicorn Weighing Services,088266 95555,28.64302,77.140266,N/A,N/A
Shri Ram Dharam Kanta,,28.68064,77.15384019999999,N/A,N/A
Mobile Weighbridge,,28.6801119,77.186201,N/A,N/A
SiyaRam WeighBridge,,28.6243339,77.1192635,N/A,N/A
Shri Mahaveer Dharam Kanta,,28.6678826,77.300716,N/A,N/A
Shivam Dharam Kanta,,28.6679601,77.3009488,N/A,N/A
Mahavir Dharam Kanta,,28.6186845,77.1130874,N/A,N/A
National Dharam Kanta,011 2638 4132,28.5374818,77.27994629999999,N/A,N/A
Technoweigh - Best Weighbridge Manufacturer,093130 51477,28.6704126,77.3079593,N/A,N/A
JD Dharm Kanta,098112 85782,28.6995066,77.1619918,N/A,N/A
Jai Shri Ram Dharam Kanta,099714 45271,28.5845172,77.311622,N/A,N/A
Taraju wale,088519 63198,28.7049405,77.3052368,N/A,N/A
Jai Hind Dharam Kanta,,28.526081,77.28183489999999,N/A,N/A
JAI HIND DHARAM KANTA,097179 83098,28.5319947,77.3057315,N/A,N/A
Balaji Dharam Kanta,,28.5259381,77.2804025,N/A,N/A
Ganpati Dharam kanta,,28.675566,77.300119,N/A,N/A
Jai Jwala Ji Dharamkanta,,28.6144457,77.11621650000001,N/A,N/A
Shree Ram Kaanta,,28.6142775,77.113407,N/A,N/A
