Name,City,State,Latitude,Longitude
KP Dharam Kanta,Delhi,Delhi,28.6587773,77.0565668
Delhi Dharmkata,Delhi,Delhi,28.7418109,77.1472815
jai durga dharm kanta,New Delhi,Delhi,28.6598644,77.0994498
Shiv Dharm Kanta,New Delhi,Delhi,28.74338079999999,77.14571409999999
Mahadev Dharam Kanta,Delhi,Delhi,28.672668,77.059625
Shri Ram Dharam Kanta,New Delhi,Delhi,28.6904729,77.0610404
Shiv Dharam Kanta,Delhi,Delhi,28.7016799,77.04909649999999
Jai Mata Dharm Kata,New Delhi,Delhi,28.6915459,77.0615162
Hanuman Dharm kata,New Delhi,Delhi,28.7491127,77.08690159999999
Chitra Dharm Kanta,New Delhi,Delhi,28.7505227,77.1473275
Janta Dharam Kanta,New Delhi,Delhi,28.6735947,77.06004089999999
Om Dharam kanta,New Delhi,Delhi,28.688996,77.07886839999999
Bajrang Dharam Kanta,Delhi,Delhi,28.7505592,77.147753
Ayurvedic Products,Delhi,Delhi,28.6738787,77.06665629999999
Do Murti Dharam Kanta,Delhi,Delhi,28.6727736,77.0534409
Kumar Dharam kata (weighbridge),New Delhi,Delhi,28.6611589,77.04126169999999
SiyaRam WeighBridge,Delhi,Delhi,28.6243339,77.1192635
Shree Balaji Dharam Kanta,New Delhi,Delhi,28.6763541,77.0464025
Mahavira Dharam Kanta,New Delhi,Delhi,28.6789743,77.0459496
Hargobind Dharam Kanta,Delhi,Delhi,28.6517411,77.0935308
Share ram dharam kanta,Delhi,Delhi,28.6537328,77.04420549999999
Shri Ram Dharam Kanta,Delhi,Delhi,28.7092157,77.0812746
Jai Hanuman Dharam kanta,Delhi,Delhi,28.630457,77.0535756
Ch. Baldev dharam kanta,Delhi,Delhi,28.7068622,77.0407261
Suri Brothers,New Delhi,Delhi,28.6399991,77.1054252
Suraj Dharm Kanta,Delhi,Delhi,28.6820383,77.03941720000002
Weighbridge manufacturer,New Delhi,Delhi,28.667825,77.0480695
Kishan Dharm Kanta,Delhi,Delhi,28.6322792,77.08359279999999
Bharat Dharam Kanta,New Delhi,Delhi,28.6413264,77.13551720000001
Dada Bhaiya Dharm Kanta,Delhi,Delhi,28.6545083,77.037471
Ganga Dharam Kata,Delhi,Delhi,28.65407,77.036203
Tula Digital (India) Pvt. Ltd.,Delhi,Delhi,28.6353482,77.1399678
Mahavir Dharam Kanta,Delhi,Delhi,28.6186845,77.1130874
Nav Bharat Dharam Kant,Delhi,Delhi,28.668766,77.05629429999999
Jai Jwala Ji Dharamkanta,New Delhi,Delhi,28.6144457,77.11621650000001
Shree Balaji dharam kanta,Delhi,Delhi,28.6090579,77.0494356
Unicorn Weighing Services,New Delhi,Delhi,28.64302,77.140266
Shree Ram Kaanta,New Delhi,Delhi,28.6142775,77.113407
Kishan dharam kanta,New Delhi,Delhi,28.5584787,77.04971230000001
Shri Gayitri Dharam Kanta,Delhi,Delhi,28.619777,77.034607
Vishwakarma Scales Pvt. Ltd.,New Delhi,Delhi,28.5684015,77.1642133
Visco India,New Delhi,Delhi,28.5685267,77.1644788
Tollman International Pvt Ltd,New Delhi,Delhi,28.5684263,77.16417249999999
Kulvantrai dharm kanta,New Delhi,Delhi,28.6127574,77.1116859
ISHIDA INDIA PVT. LTD.,Gurugram,Haryana,28.5051333,77.0876779
Games Dhahran Kanta,Delhi,Delhi,28.5339786,77.0579236
Krishna Kata,New Delhi,Delhi,28.492492,77.14573
Jai Durga Dharm Kaata,Gurugram,Haryana,28.493854,77.059533
Sec.75 weigh bridge (mmpl) HR,Gurugram,Haryana,28.3999304,77.0111903
जय श्री श्याम धर्म काँटा,Gurugram,Haryana,28.4253114,77.0104419
Ram Dharam Kanta,Gurugram,Haryana,28.4692532,77.0343062
Kisan Dharam Kanta,Gurugram,Haryana,28.4475489,77.0740697
Shri Dhram Kanta,Gurugram,Haryana,28.4575854,76.990605
Vijay dubey,Bahadurgarh,Haryana,28.455204,77.00044079999999
A ONE DHARM KANTA,Gurugram,Haryana,28.4409183,77.0018683
नेशनन धर्म काँटा,Gurugram,Haryana,28.4210307,76.9990488
Patel dharam kata,Gurugram,Haryana,28.4280329,76.9947847
GRPL-HR (UWS),Gurugram,Haryana,28.403035,77.06029
Shri Sai Dharam Kanta,Gurugram,Haryana,28.4919768,77.0195775
Rajendra Prasad Scales,Gurugram,Haryana,28.4611729,77.030447
ANNANYA INDUSTRIAL EQUIPMENTS WEIGHING MACHINE MANUFACTURERS AND SUPPLIER / DEALER / TRADERS,Gurugram,Haryana,28.4591546,77.0265553
Rao Deepak Dharam Kanta,Nurpur Jharsa,Haryana,28.3750545,77.0407519
Weigh Bridge,Uleta,Haryana,28.1892983,77.17202759999999
Weigh Bridge,Kherli Jita,Haryana,28.1864974,77.1722884
Shri Balaji Dharam Kanta,Ujina,Haryana,28.0466879,77.0883052
Shri Krishna Dharam Kata,Dausa,Rajasthan,26.9003439,76.31487249999999
श्री रामसिंह यादव,Chawand Hera,Rajasthan,26.9222587,76.2867352
गंगा राम धर्म काँटा क्षमता 100 टन,Jirota Kalan,Rajasthan,26.895969,76.2935464
Dhram Kata,Banskho,Rajasthan,26.8383678,76.1507543
SHREE JAGDHAMBA DHARM KANTA श्री जगदंम्बा धर्म कांटा,Kanauta,Rajasthan,26.8766875,75.9495625
Charbhuja Computerized Dharm Kanta,Kanota,Rajasthan,26.8678049,75.9519322
Shri veshno devi dharam kanta,Kanauta,Rajasthan,26.8770217,75.94980869999999
Raghunath Dharam Kanta,Jaipur,Rajasthan,26.8494377,75.9225142
Shree Somnath Computerized Weighbridge,Ramsinghpura,Rajasthan,26.8565875,75.95214059999999
Shree Jagdish dharm khata,Dantli,Rajasthan,26.8249334,75.90142829999999
parash dharam kanta,Jaipur,Rajasthan,26.8632017,75.97764649999999
Rajawat Computerized Weighbridge (Dharam Kanta),Jaipur,Rajasthan,26.8544957,75.895909
C S Sales Corporation,Jaipur,Rajasthan,26.9249635,75.81915339999999
Swadesh Vegyanik Computersid Kanta,Jaipur,Rajasthan,26.900379,75.846985
Dharam kanta,Jaipur,Rajasthan,26.8696193,75.8224137
Gayatri Dharmkanta & Touch Centre,Jaipur,Rajasthan,26.9281705,75.81338769999999
SWADESH VAIGYANIK KANTA GONER ROAD,Jaipur,Rajasthan,26.8578968,75.8937919
Balaji dharam kanta,Jaipur,Rajasthan,26.9146002,75.84762529999999
Rana Dharm Kanta,Jaipur,Rajasthan,26.9201595,75.82304239999999
Gitanjli Derm Kata,Jaipur,Rajasthan,26.9206464,75.823517
Sri jagarnath DHARMA KANTA,Jaipur,Rajasthan,26.8550892,75.82277479999999
EMT Weighmaster Private Limited,Jaipur,Rajasthan,26.915311,75.7996199
Laxmi Dharam Kanta,Jaipur,Rajasthan,26.9018972,75.7886694
Pearls Weighing Corporation,Jaipur,Rajasthan,26.9018358,75.7886269
SURYA UDAI ENGINEERS (WEIGHBRIDGE AND DHARAM KANTA SUPPLIER),Jaipur,Rajasthan,26.9301664,75.8023834
Dharm Kanta Shree Vinayak 100 Ton,Jaipur,Rajasthan,26.9340003,75.7978378
RK Weighing Machine and Scales,Jaipur,Rajasthan,26.8722567,75.7880943
Weighing machine,Jaipur,Rajasthan,26.932925,75.798783
भारतीय वैज्ञानिक धर्म काँटा,Jaipur,Rajasthan,26.869621,75.82239179999999
Om Electronic Weighing Scale,Jaipur,Rajasthan,26.9437408,75.7996077
अलवर जयपुर मार्ग,Jaipur,Rajasthan,26.9124336,75.7872709
Uthigiri,Jaipur,Rajasthan,26.9034834,75.7831882
J B CORPORATION,Jaipur,Rajasthan,26.9073035,75.7786515
Shree Govind Kanta Wala-Shree Govind Scales,Jaipur,Rajasthan,26.9251091,75.81927499999999
