name,phone,city,state,pincode,business_status,latitude,longitude,formatted_address,place_id,rating,user_ratings_total
JYOTHI WEIGHBRIDGE,088862 12897,Guntur,Andhra Pradesh,522005,OPERATIONAL,16.2831997,80.40249419999999,"Grand Trunk Rd, near by pass, 'Y' Junction, Guntur, Andhra Pradesh 522005, India",ChIJbVR2qTV1SjoR8XfPu9TF19s,5,123
sree Krishna Weighbridge 100 tonnes,,Madanapalle,Andhra Pradesh,517325,OPERATIONAL,13.5795711,78.49799139999999,"HFHX+R5H annamaya circle, Kadiri Hwy, Madanapalle, Kollabylu Rural, Andhra Pradesh 517325, India",ChIJMYs9P_BnsjsR0wWs3HsUxXo,4.6,53
Gelivi Weigh Bridge,087905 87905,Nandyala,Andhra Pradesh,518502,OPERATIONAL,15.4608818,78.48631209999999,"28/5 i & j, Noonepalli, Nandyala, Andhra Pradesh 518502, India",ChIJbzvsNKNStDsRjHd5kxyqwBY,4,84
Shilpa Weighbridge,,Kurnool,Andhra Pradesh,518004,OPERATIONAL,15.8159832,78.0250188,"chenamma circle, Kallur, Kurnool, Andhra Pradesh 518004, India",ChIJZWkjefzdtTsRUSbA34JeBRU,4.7,15
Amaravathi Weigh Bridge,,Kesavarao Peta,Andhra Pradesh,532410,OPERATIONAL,18.2873752,83.844163,"NH16, Kesavarao Peta, Andhra Pradesh 532410, India",ChIJh7XeKHwTPDoR1hO9GHHB7ew,3.4,40
Sree Venkata Sravani Sai Weigh Bridge New,,Thallapalem,Andhra Pradesh,531061,OPERATIONAL,17.5095425,82.99676989999999,"GX5W+QM, Thallapalem, Andhra Pradesh 531061, India",ChIJaT9kqewNOToRvoXr3paOP5Q,5,11
Vijayawada WEIGH BRIDGE,,Vijayawada,Andhra Pradesh,520007,OPERATIONAL,16.5079703,80.67669769999999,"Plot no 27,phase, 3, Auto Nagar, Vijayawada, Andhra Pradesh 520007, India",ChIJf9ucHNb6NToR4yx-xOzSlu0,4.2,161
DDIN Weighbridge,,Sivaramapuram,Andhra Pradesh,523264,OPERATIONAL,15.7062079,79.8444662,"SH 295, Sivaramapuram, Andhra Pradesh 523264, India",ChIJ-chiQS3lSjoR7wGtDz3QOk4,5,8
Pranathi Perfect Weigh Bridge,088865 22533,Vinukonda,Andhra Pradesh,522647,OPERATIONAL,16.066129,79.7624213,"3Q86+FX3, Road, Vittam Raju Palli, Vinukonda, Andhra Pradesh 522647, India",ChIJP7a5hSqWSjoRyyD3CkEdUrk,4.4,12
SIB WEIGH BRIDGE,,Rayachoty,Andhra Pradesh,516269,OPERATIONAL,14.0509424,78.76566199999999,"Rayachoti Bypass Ring Rd, near SIB Cold Storage, Syamalavari palli, Rayachoty, Andhra Pradesh 516269, India",ChIJ-9rWuz4CszsRslshH3CoYcg,4.3,19
Weighbridge,,Puttavaripalem,Andhra Pradesh,523302,OPERATIONAL,16.1199841,79.9283647,"Mainroad, Puttavaripalem, Andhra Pradesh 523302, India",ChIJE7wGDk-FSjoR8MiZm9jMLII,4.5,4
Ramakanth weighbridge,,Reddypalli,Andhra Pradesh,515701,OPERATIONAL,14.7263728,77.6700735,"PMGC+V3M, SH 30, Reddypalli, Andhra Pradesh 515701, India",ChIJLdKePAWztjsRHdqVAXN3Wvk,4.7,7
S V S WEIGH BRIDGE PULLA,090105 09998,Pulla,Andhra Pradesh,534401,OPERATIONAL,16.807813,81.315009,"R858+42C, Pulla, Andhra Pradesh 534401, India",ChIJw8AsVGxGNjoRKxk7uyTi0bk,4,45
Sri Krishna Weighbridge,,Visakhapatnam,Andhra Pradesh,531083,OPERATIONAL,17.426069,82.755355,"CQG4+C4Q, Visakhapatnam, Koruprolu, Andhra Pradesh 531083, India",ChIJrbxwKsalOToRJZ_sb1nMTs8,4.1,11
COASTAL WEIGH BRIDGE,,Patrunivalasa Rural,Andhra Pradesh,756019,OPERATIONAL,18.31582,83.9272542,"NH 16, GANESWARPUR INDUSTRIAL ESTATE, Andhra Pradesh 756019, India",ChIJE_HI9ksVPDoRhHd9-t4YCgY,5,1
Weigh Bridge -3,,APSEZ,Andhra Pradesh,531011,OPERATIONAL,17.5328346,83.0014046,"G2M2+4HJ Abhijeet Ferrotech Limited, APSEZ, Andhra Pradesh 531011, India",ChIJzQxmVVoNOToRTFOGHE9ElCg,4.3,6
