name,phone,city,state,pincode,business_status,latitude,longitude,formatted_address,place_id,rating,user_ratings_total
Kanchanjungha Kanta,,Binnaguri,West Bengal,735135,OPERATIONAL,26.6454843,88.46674700000001,"Balaram Rd, Binnaguri",ChIJESR8YcdD5DkRGDiVo-a18EM,4.5,6.0
Maa Shakti Weigh Bridge,094340 44693,Siliguri,West Bengal,734008,OPERATIONAL,26.7535287,88.4453047,"Ward 42, Siliguri",ChIJd6QdBVpA5DkRWSnbmKBBXYs,4.0,74.0
Shree Ganesh weight bridge,,Fulbari,West Bengal,734004,OPERATIONAL,26.6495671,88.4195285,"JCX9+RRC, Fulbari, Binnaguri",ChIJW077F_9D5DkR5Kap4yzVM7g,5.0,1.0
BALAJI WEIGH BRIDGE,,Binnaguri,West Bengal,734015,OPERATIONAL,26.6430491,88.4248125,"JCVF+6WM, Binnaguri",ChIJB5BlEm5D5DkRpsr0UtecmYU,3.9,11.0
Sawaria Dharam Kanta Weigh Bridge,,Siliguri,West Bengal,734004,OPERATIONAL,26.752404,88.4436358,"Commercial Godown, Ward 42, Don Bosco Colony, Siliguri",ChIJhZLXypZB5DkRAclrx6j1Jvw,5.0,3.0
Shree Mahalakshmi Weight Bridge,,Siliguri,West Bengal,734001,OPERATIONAL,26.7063652,88.41671579999999,"PC48+GMW, Ward 9, Khalpara, Siliguri",ChIJrW6HEgdB5DkR8Rm05N1jwxc,4.5,8.0
Salugara Maruti Weigh Bridge,086702 21303,Siliguri,West Bengal,734004,OPERATIONAL,26.7614998,88.44314589999999,"734004, Chayan Para, Don Bosco Colony, Siliguri",ChIJEXs7-l5A5DkRTiSGYEanQeI,4.1,12.0
SHREE KRISHNA KATA,,Fulbari,West Bengal,734004,OPERATIONAL,26.6709434,88.4145245,"Uttar Kanya, Hindustan More, Kamrangaguri, Fulbari, Siliguri",ChIJK-cf36ND5DkRW3P2780BoEM,3.3,8.0
Shree Hanuman weigh bridge,,Siliguri,West Bengal,734004,OPERATIONAL,26.7625938,88.4424743,"QC7R+2XQ, Ward 42, Salugara, Siliguri",ChIJw6wp7g5B5DkR8cXyWm84DFo,4.0,2.0
SHREE DURGA WEIGH BRIDGE(CAPACITY 120MT),,Uttar Ramdhan,West Bengal,734426,OPERATIONAL,26.6460961,88.1749851,"J5WF+CXQ, Uttar Ramdhan",ChIJJ0ICAgBN5DkRDkPs6TwOWYs,5.0,1.0
Melli Weigh Bridge,,,Sikkim,737128,OPERATIONAL,27.085709,88.45125329999999,"3FP2+7GJ, NH710",ChIJc3y3ipAh5DkRrb7F2AdPj_E,4.7,3.0
Shanjib Weigh Bridge,099336 35122,Baniakhari,West Bengal,734010,OPERATIONAL,26.7309457,88.3699455,"P9J9+9XG, Baniakhari",ChIJafdSVvpG5DkRPyznIsEuRHQ,4.2,19.0
BABA LOKNATH WEIGH BRIDGE,,Molani,West Bengal,734426,OPERATIONAL,26.5905478,88.2803831,"H7RJ+64X, Rishi Rd, Molani",ChIJW_2xgJpR5DkRjhQLbLaRKa8,3.2,6.0
Sarfaraz weigh bridge,,Mahipal,West Bengal,734434,OPERATIONAL,26.5862806,88.3456587,"H8PW+G77, Phansidewa Rd, Mahipal",ChIJvQkdWHhb5DkRDowTOWTBljQ,5.0,1.0
"WeighBridge,Govt.Quinine Factory",,Mangpoo,West Bengal,734313,OPERATIONAL,26.9739666,88.3735791,"X9FF+HCP, Mangpoo, Mangpu Cinchona Plantation",ChIJefQMkzI75DkRugxGaQ1vIeM,4.0,2.0
LABANYA WEIGH BRIDGE & Veh Emmission Test Ctr,,Siliguri,West Bengal,734003,OPERATIONAL,26.731547,88.4061801,"NEW DARJEELING MORE BEFORE THE BRIDGE TAKING TO POLICE COMISSIONERATE, Siliguri",ChIJGbReuUlB5DkR3_1yVX3EjfU,4.0,1.0
Maa Tara WeighBridge,,Mallaguri,West Bengal,734003,OPERATIONAL,26.7350663,88.4136608,"PCP7+2FF, Ward 46, Champasari, Mallaguri, Siliguri",ChIJ0SGncipB5DkRr0kkzYEDUOM,,
Goyel Weigh Bridge,,Jugibhita,West Bengal,735203,OPERATIONAL,26.6296462,88.4654221,"JFH8+V5, Jugibhita",ChIJ-57SE-9D5DkRlAgDafLeHhI,4.0,1.0
Kader Weigh Bridge,,Fulbari,West Bengal,734015,OPERATIONAL,26.6411167,88.4167667,"Badlagachh, Fulbari, Binnaguri",ChIJkRMmwIRD5DkRJHbInogmY6c,5.0,1.0
RADHE KRISHNA WEIGH BRIDGE,,Binnaguri,West Bengal,734015,OPERATIONAL,26.6447159,88.4233975,"JCWF+27J, NH 27, Binnaguri",ChIJaX000UxD5DkRJPT6sguto7k,,
